Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,order
1499.0,0.68491,130.37,7298.052429,7297.627642,7.0
1500.0,0.68491,130.37,7297.627642,7297.202853,7.0
1501.0,0.68491,130.37,7297.202853,7296.90218,7.0
1502.0,0.68491,130.37,7296.90218,7296.477387,7.0
1503.0,0.68491,130.37,7296.477387,7296.052593,7.0
1504.0,0.68491,130.37,7296.052593,7295.627796,7.0
1505.0,0.68491,130.37,7295.627796,7295.327112,7.0
1506.0,0.68491,130.37,7295.327112,7295.026426,7.0
1507.0,0.68491,130.37,7295.026426,7294.601623,7.0
1508.0,0.68491,130.37,7294.601623,7294.176818,7.0
1509.0,0.68491,130.37,7294.176818,7293.752012,7.0
1510.0,0.68491,130.37,7293.752012,7293.327203,7.0
1511.0,0.68491,130.37,7293.327203,7292.902393,7.0
1512.0,0.68491,130.37,7292.902393,7292.47758,7.0
1513.0,0.68491,130.37,7292.47758,7292.176874,7.0
1514.0,0.68491,130.37,7292.176874,7291.752057,7.0
1515.0,0.68491,130.37,7291.752057,7291.327239,7.0
1516.0,0.68491,130.37,7291.327239,7291.026524,7.0
1517.0,0.68491,130.37,7291.026524,7290.601701,7.0
1518.0,0.68491,130.37,7290.601701,7290.176876,7.0
1519.0,0.68491,130.37,7290.176876,7289.752049,7.0
1520.0,0.68491,130.37,7289.752049,7289.451322,7.0
1521.0,0.68491,130.37,7289.451322,7289.150593,7.0
1522.0,0.68491,130.37,7289.150593,7288.72576,7.0
1523.0,0.68491,130.37,7288.72576,7288.425688,7.0
1524.0,0.68491,130.37,7288.425688,7288.000853,7.0
1525.0,0.68491,130.37,7288.000853,7287.700114,7.0
1526.0,0.68491,130.37,7287.700114,7287.275275,7.0
1527.0,0.68491,130.37,7287.275275,7286.850433,7.0
1528.0,0.68491,130.37,7286.850433,7286.550361,7.0
1529.0,0.68491,130.37,7286.550361,7286.125517,7.0
1530.0,0.68491,130.37,7286.125517,7285.700672,7.0
1531.0,0.68491,130.37,7285.700672,7285.4006,7.0
1532.0,0.68491,130.37,7285.4006,7284.975752,7.0
1533.0,0.68491,130.37,7284.975752,7284.67568,7.0
1534.0,0.68491,130.37,7284.67568,7284.25083,7.0
1535.0,0.68491,130.37,7284.25083,7283.950758,7.0
1536.0,0.68491,130.37,7283.950758,7283.525906,7.0
1537.0,0.68491,130.37,7283.525906,7283.225143,7.0
1538.0,0.68491,130.37,7283.225143,7282.800286,7.0
1539.0,0.68491,130.37,7282.800286,7282.499517,7.0
1540.0,0.68491,130.37,7282.499517,7282.074656,7.0
1541.0,0.68491,130.37,7282.074656,7281.649793,7.0
1542.0,0.68491,130.37,7281.649793,7281.349015,7.0
1543.0,0.68491,130.37,7281.349015,7280.924147,7.0
1544.0,0.68491,130.37,7280.924147,7280.499277,7.0
1545.0,0.68491,130.37,7280.499277,7279.667281,7.0
1546.0,0.68491,130.37,7279.667281,7279.242308,7.0
1547.0,0.68491,130.37,7279.242308,7278.817333,7.0
1548.0,0.68491,130.37,7278.817333,7278.392354,7.0
1549.0,0.68491,130.37,7278.392354,7278.092283,7.0
1550.0,0.68491,130.37,7278.092283,7277.667302,7.0
1551.0,0.68491,130.37,7277.667302,7277.36723,7.0
1552.0,0.68491,130.37,7277.36723,7276.942246,7.0
1553.0,0.68491,130.37,7276.942246,7276.51726,7.0
1554.0,0.68491,130.37,7276.51726,7276.217188,7.0
1555.0,0.68491,130.37,7276.217188,7275.917116,7.0
1556.0,0.68491,130.37,7275.917116,7275.617044,7.0
1557.0,0.68491,130.37,7275.617044,7275.192055,7.0
1558.0,0.68491,130.37,7275.192055,7274.767063,7.0
1559.0,0.68491,130.37,7274.767063,7274.466991,7.0
1560.0,0.68491,130.37,7274.466991,7274.041997,7.0
1561.0,0.68491,130.37,7274.041997,7273.616999,7.0
